Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2/21/2000,BRITANNIA,EQ,667.05,675,690,655,670,665.7,669.13,7993,5.34832E+11,,,
2/22/2000,BRITANNIA,EQ,665.7,670,670,655,659.9,657.45,660.67,11142,7.36118E+11,,,
2/23/2000,BRITANNIA,EQ,657.45,658,680,655,670,665.65,668.06,5793,3.8701E+11,,,
2/24/2000,BRITANNIA,EQ,665.65,675,677,642,665,662.1,658.93,8205,5.40654E+11,,,
2/25/2000,BRITANNIA,EQ,662.1,674,674,640,645,641.85,654.42,6346,4.15294E+11,,,
2/28/2000,BRITANNIA,EQ,641.85,640,656,609.15,634.5,635.85,640.47,9071,5.80968E+11,,,
2/29/2000,BRITANNIA,EQ,635.85,650,659.85,605,605,611.5,634.25,16183,1.0264E+12,,,
3/1/2000,BRITANNIA,EQ,611.5,625,625,562.6,562.6,562.6,569.89,9303,5.30166E+11,,,
3/2/2000,BRITANNIA,EQ,562.6,527,530,517.6,517.6,517.6,518.26,8703,4.51039E+11,,,
3/3/2000,BRITANNIA,EQ,517.6,476.2,545.45,476.2,500,504.6,487.22,26306,1.28168E+12,,,
3/6/2000,BRITANNIA,EQ,504.6,525,525,464.25,476.25,475.3,481.61,18609,8.96228E+11,,,
3/7/2000,BRITANNIA,EQ,475.3,479.9,490,462,470,469.35,474.37,17834,8.45995E+11,,,
3/8/2000,BRITANNIA,EQ,469.35,488,506.45,465.1,494,489.4,490.24,39317,1.92748E+12,,,
3/9/2000,BRITANNIA,EQ,489.4,500,500,475,499.75,499.65,480.96,34910,1.67905E+12,,,
